City,State,Date_started,Date_ended,Size,Lat,Long,Local_coverage_link,Notes
Newport Beach,CA,,,,33.640302,-117.769442,https://www.ocregister.com/2020/06/03/hundreds-attend-the-first-of-four-newport-beach-rallies-today-for-black-lives-matter/,
North Lake Tahoe,CA,,,,39.238,-120.0315,https://www.sfgate.com/living-in-sf/slideshow/Peaceful-protests-in-Lake-Tahoe-towns-203261.php,
Oakland,CA,,,minor,37.786027,-122.223779,https://www.sfchronicle.com/crime/article/San-Jose-police-deploy-tear-gas-fire-rubber-15304376.php,
Ojai,CA,,,,34.5302,-119.310134,https://www.ojaivalleynews.com/?view=article&id=17792%3Aover-350-protest-george-floyd-s-death-in-ojai-sunday&catid=856,
Oxnard,CA,,,,34.205247,-119.174092,https://www.vcstar.com/story/news/local/2020/05/30/hundreds-march-through-oxnard-protest-george-floyd-death/5292622002/,
Palm Desert,CA,,,,33.76437,-116.339766,https://www.desertsun.com/story/news/2020/06/02/palm-desert-applauds-peaceful-black-lives-matter-protest/3125090001/,
Palm Springs,CA,,,minor,33.842567,-116.527996,https://www.desertsun.com/story/news/2020/06/01/demonstrations-over-death-george-floyd-planned-across-palm-springs-area/5308128002/,
Palo Alto,CA,,,,37.444122,-122.149915,https://www.mv-voice.com/news/2020/06/02/protesters-block-highway-set-off-fireworks-to-show-solidarity-with-black-lives-matter,
Pasadena,CA,,,,33.786594,-118.298662,https://www.pasadenastarnews.com/2020/06/02/first-of-two-george-floyd-inspired-protests-underway-in-pasadena/,
Pinole,CA,,,,38.00437,-122.29886,https://www.ktvu.com/news/smaller-cities-attracting-george-floyd-solidarity-protests,
Rancho Cucamonga,CA,,,,34.839964,-115.967051,https://www.dailybulletin.com/2020/05/29/more-than-100-protest-george-floyds-death-in-rancho-cucamonga/,
Red Bluff,CA,,,,40.142907,-122.340888,https://www.redbluffdailynews.com/2020/06/01/tehema-county-community-members-protest-death-of-george-floyd/,
Redding,CA,,,,40.600342,-122.455016,https://www.redding.com/story/news/2020/06/01/protesters-police-join-redding-march-george-floyd/5308779002/,
Redwood City,CA,,,,37.381144,-122.334825,https://www.smdailyjournal.com/news/local/a-peaceful-protest-in-redwood-city/article_7726609c-a556-11ea-bad3-0b925799afb9.html,
Sacramento,CA,,,minor,38.575764,-121.478851,https://www.sacbee.com/news/local/article243164261.html,
Salinas,CA,,,,36.678401,-121.656249,https://www.thecalifornian.com/story/news/2020/06/02/california-residents-kneel-george-floyd-protests-monday/5313164002/,
San Diego,CA,,,minor,32.724103,-117.170912,https://www.sandiegouniontribune.com/news/public-safety/story/2020-06-01/san-diego-police-report-arresting-more-than-100-people,
San Francisco,CA,,,major,37.776646,-122.417481,https://www.sfchronicle.com/bayarea/article/SF-officials-condemn-protest-violence-warn-of-15306724.php,
San Jose,CA,,,minor,37.342524,-121.888875,https://www.mercurynews.com/2020/06/01/bay-area-cities-deal-with-fallout-from-looting-and-violence-prepare-for-more-protests/,
San Leandro,CA,,,minor,37.715629,-122.158621,https://sanfrancisco.cbslocal.com/2020/05/31/george-floyd-roving-bands-of-looters-target-suburban-east-bay-communities/,
