id,cleanedRecordingTitle,originalRecordingTitle,contributors,cleanedEventTitle,originalEventTitle,date
20100531_bg_004sr_pl_dd_hb,Paradise,"Tascam DR000301 The Heartland Band perfroming @ Dennis Days, song: Paradise Traditional ? Public domain",The Heartland Band,The Heartland Band at Dennis Days,5-31-10 (2) THE HEARTLAND BAND @ DENNIS DAYS,2010-05-31
20100531_bg_007sr_pl_dd_hb,Play Dixie For Me,"Tascam DR000304 The Heartland Band perfroming @ Dennis Days, song: Play Dixie For Me Traditional - public domain (1) clipped for YouTube",The Heartland Band,The Heartland Band at Dennis Days,5-31-10 (2) THE HEARTLAND BAND @ DENNIS DAYS,2010-05-31
20100531_bg_009sr_pl_dd_hb,Amazing Grace,"Tascam DR000306 The Heartland Band perfroming @ Dennis Days, song: Amazing Grace (shortened version - not full song) Public Domain",The Heartland Band,The Heartland Band at Dennis Days,5-31-10 (2) THE HEARTLAND BAND @ DENNIS DAYS,2010-05-31
20100807_ma_002sr_pl_plc_jl,Home To Mingolay and Westering Sea,"Tascam DR000403 Handycam 20100807150309 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, 2 Songs: Home To Mingolay and Westering Sea - traditional Public Domain",Julia Lane | Fred Gosbee,Julia Lane at Pamaquid Lighthouse Learning Center,8-7-10 JULIA LANE,2010-08-07
20100807_ma_005sr_pl_plc_jl,The Three Sea Captainas,"Tascam DR000406 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: The Three Sea Captainas Traditional Public Domain",Julia Lane | Fred Gosbee,Julia Lane at Pamaquid Lighthouse Learning Center,8-7-10 JULIA LANE,2010-08-07
20100807_ma_014sr_pl_plc_jl,Our Gallant Ship,"Tascam DR000415 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: Our Gallant Ship, Traditional, Public Domain",Julia Lane | Fred Gosbee,Julia Lane at Pamaquid Lighthouse Learning Center,8-7-10 JULIA LANE,2010-08-07
20100807_ma_015sr_pl_plc_jl,The Mermaid,"Tascam DR000416 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: The Mermaid, Traditional, Public Domain",Julia Lane | Fred Gosbee,Julia Lane at Pamaquid Lighthouse Learning Center,8-7-10 JULIA LANE,2010-08-07
20100807_ma_020sr_pl_plc_jl,I's The B'ys,"Tascam DR000421 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: I's The B'ys, Traditinal Public Domain",Julia Lane | Fred Gosbee,Julia Lane at Pamaquid Lighthouse Learning Center,8-7-10 JULIA LANE,2010-08-07
20100807_ma_021sr_pl_plc_jl,The Ballad Of Captain Tucker,"Tascam DR000422 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: The Ballad Of Captain Tucker, Traditional Public Domain",Julia Lane | Fred Gosbee,Julia Lane at Pamaquid Lighthouse Learning Center,8-7-10 JULIA LANE,2010-08-07
20100807_ma_022sr_pl_plc_jl,Mary's Dream,"Tascam DR000423 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: Mary's Dream, Traditional, Public Domain",Julia Lane | Fred Gosbee,Julia Lane at Pamaquid Lighthouse Learning Center,8-7-10 JULIA LANE,2010-08-07
20100808_ma_003sr_pl_sm_dn,Brother Noah Built The Arc,"Tascam DR00437 Daisy Nell performing traditional song (public domain) ""Brother Noah Built The Arc"" with husband Captain Stan and other players during session at Sail Power and Steam Museum, Rockland, ME",Daisy Nell | Captain Stan,"Daisy Nell (and Captain Stan) at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",2010-08-08
20100808_ma_005sr_pl_sm_dn,The Sky Boat Song,"Tascam DR00440 Daisy Nell performing traditional song (public domain) ""The Sky Boat Song"" with husband Captain Stan and other players (listed on release forms) during session at Sail Power and Steam Museum, Rockland, ME",Daisy Nell | Captain Stan,"Daisy Nell (and Captain Stan) at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",2010-08-08
20100808_ma_010sr_pl_sm_dn,God Moves In A Wind Storm,"Tascam DR00448 Daisy Nell performing traditional song (public domain) ""God Moves In A Wind Storm"" with husband Captain Stan and other players (listed on release forms) during session at Sail Power and Steam Museum, Rockland, ME",Daisy Nell | Captain Stan,"Daisy Nell (and Captain Stan) at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",2010-08-08
20100917_bg_002mv_pl_brrr_kf,John Henry,Handycam 20100917180605 Boss Hawg at the Machavelli Stage @ BRRR live performance. Song: John Henry traditional - Public Domain,Boss Hawg,Kim France with Boss Hawg at BRRR,9-17-10 (4) Kim France with Boss Hawg @ BRRR,2010-09-17
20100917_bg_008mv_pl_brrr_kf,Wild Bill Jones,Handycam 20100917183733 Boss Hawg at the Machavelli Stage @ BRRR live performance. Song: Wild Bill Jones - Traditional - Public Domain,Boss Hawg,Kim France with Boss Hawg at BRRR,9-17-10 (4) Kim France with Boss Hawg @ BRRR,2010-09-17
20100917_bg_004mv_pl_brrr_ms,Cotton Eyed Joe,Handycam 20100917222547 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Cotton Eyed Joe Traditional - Public Domain,Martha Spencer | Emily Spencer | The Whitetop Mountain Band,Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band at BRRR,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),2010-09-17
20100917_bg_006mv_pl_brrr_ms,Bile Them Cabbage Down,"Handycam 20100917223616 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Bile Them Cabbage Down, Traditional - Public Domain",Martha Spencer | Emily Spencer | The Whitetop Mountain Band,Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band at BRRR,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),2010-09-17
20100917_bg_010mv_pl_brrr_ms,Faded Love,"Handycam 20100917225432 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Faded Love, Traditional Public Domain",Martha Spencer | Emily Spencer | The Whitetop Mountain Band,Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band at BRRR,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),2010-09-17
20100917_bg_011mv_pl_brrr_ms,That's The Way You Feel,"Handycam 20100917225903 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: That's The Way You Feel, Traditional - Public Domain, featuring little Faith on vocals.",Martha Spencer | Emily Spencer | The Whitetop Mountain Band,Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band at BRRR,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),2010-09-17
20100917_bg_012mv_pl_brrr_ms,Sally Ann,"Handycam 20100917230439 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Sally Ann, Traditional - Public Domain",Martha Spencer | Emily Spencer | The Whitetop Mountain Band,Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band at BRRR,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),2010-09-17
20100917_bg_014mv_pl_brrr_ms,Keep The Skillet Good And Greasy,"Handycam 20100917231403 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Keep The Skillet Good And Greasy, Traditional - Public Domain",Martha Spencer | Emily Spencer | The Whitetop Mountain Band,Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band at BRRR,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),2010-09-17
